JFCR label,Carboquone,Melphalan,Cytarabine,5-Fluorouracil,Aclacinon,Actinomycin-D,Bleomycin,Doxorubicin,Epirubicin,Mitomycin-C,Etoposide,Vinblastine,Vincristine,6-Mercaptopurine,Methotrexate,6-Thioguanine,Neocarzinostatin,Pirarubicin,Amsacrine,CPT-11,Carboplatin,Cisplatin,Paclitaxel,Docetaxel,Oxaliplatin,E7010,ICRF-193,HCFU,Mitoxantrone HCl,FMDC,Navelbine,wortmannin,Gemcitabine,Cl-F-ara-A,SN-38,Rapamycin,PD98059,LY294002,4-Hydroperoxycyclophosphamide,Nedaplatin,U0126,Akt inhibitor,Akt inhibitor II,(-)-Deguelin,Akt Inhibitor III,PX-866 ,Akt Inhibitor X,Akt Inhibitor IX,Akt Inhibitor IV,Akt Inhibitor V,Akt Inhibitor VIII,AS605240,IC87114,PI103,TGX221,Akt Inhibitor XI,NVP-BEZ235,Perifosine,PI3K-alpha inhibitor IV,Temsirolimus,RAD-001,GDC-0941,AZD6244,E7070,Semaxanib,ZSTK474,Topotecan
NCI-H226_Lu,0.357677884,0.551473048,0,0.240076564,0.781978994,0.929729282,0.832958862,0.796971048,0.490453734,0.426078166,0.629474694,0.989727009,0.812335299,0.180926983,0,0.34902132,0.417097771,0.507000922,0.538547719,0.431147092,0,0.332504439,0.891307211,0.967917709,0.812006149,0.803056988,0.343759468,0.525555338,0.552172294,0.286445636,0.861945557,0.319159284,0.787072344,0.549971885,0.797525885,0.862858991,0.13167379,0.61864937,0.534726799,0.529169338,0.69904375,0.185179013,0.041855047,0.1083747,0.293904163,0.349118443,0.428781976,0.961504194,0.554327648,0.109901988,0.392504452,0.688772718,0.933096636,0.285967563,0.221032343,0.092884502,0.871740112,0.04061009,0.383625753,1,1,0.47535531,0.229481817,0.115296484,0.873925828,0.701721424,0.761238341
NCI-H23_Lu,0.48038115,0.423135643,0.696326417,0.330617743,0.352096741,0.716354105,0.393122837,0.544707636,0.413117787,0.593941863,0.59425321,0.523970074,0.745975181,0.473178809,0.725148124,0.419867167,0.476539078,0.408324701,0.468186047,0.260383586,0,0.708293918,0.859628426,0.77679935,0.434390674,0.707814684,0.261308267,0.276736825,0.34022931,0.838536609,0.780686944,0.150919273,1,0.99490943,0.780288219,0.145449699,0,0.144817314,0.310961149,0.486538276,0.682576424,0.088497858,0.039741036,0.543701522,0.212886241,0.059017205,0.136083561,0.745449894,0.579937993,0.107865169,0.216580507,0.224748895,0,0.580334294,0.173281371,0.315108076,0.353527272,0.085280101,0.696562418,0.041282412,0.199003925,0.233387914,0.421218803,0.162123684,0.243164796,0.353116617,0.758646929
NCI-H460_Lu,1,1,0.957871016,0.893044226,0.735920805,0.96756257,0.931221306,1,0.780665347,1,1,0.880764891,0.788305564,0.308018056,0.861394592,0.823719839,0.747134278,1,1,0.719616074,1,1,0.932134512,0.958283863,0.707706311,0.79385544,0.882854098,0.973050011,1,0.818678737,0.830926204,0.540594838,1,0.751352344,0.872985671,0.054231933,0,0.149282826,0.912657983,0.921492774,0.324631931,0.034343403,0.581624731,0.131712503,0.601356849,0.657797265,0.781074307,0.716530101,0.485488141,0,0.475123282,0.701540322,0,0.619147265,0.151399989,0.658971029,0.62544033,0.689749607,0.763837955,0.231396262,0.224685484,0.581648635,0.15451334,0.164477239,0,0.553553301,0.941701309
NCI-H522_Lu,0.368945107,0.580386855,0.150306775,0.146251821,0.50449841,0.987946441,0.417267181,0.731928162,0.585324354,0.407906789,0.507658035,0.9864202,0.991837115,0.658673995,0.581274189,0.843817735,0.175983335,0.430466282,0.387579192,0.491092664,0.070366864,0.599625579,0.982758989,0.982635431,0.681414623,0.960599647,1,0.444031015,0.407299547,0.140803164,1,0.433657854,0.555229532,0.274885747,0.844505938,0.862858991,0.223073483,0.804882229,0.603139846,0.464004029,0.832052913,1,0.375228651,0.534346004,0.383492423,0.437961733,0.869668452,0.853263254,0.704201232,0.011082663,0.559177138,0.655780126,0.922378981,1,0.413732131,0.154687637,0.8487758,0.552768926,0.983264502,1,1,0.678091127,0.33531549,0.339190084,0.414754772,0.73177878,0.874478098
OVCAR-3_Ov,0.293300416,0.392440569,0,0.388155796,0.684558931,0.854147007,0.18797327,0.419784884,0.338338564,0.178937771,0.244521027,1,0.956989358,0.438939558,0,0.68944934,0.04476166,0.269328142,0.262937456,0.143705569,0,0.649656597,0.969416323,0.901905078,0.469371327,0.90523243,0,0.691232125,0.240668603,0,0.979290417,0.600485707,0,0,0.403910427,0.862858991,0,0.702888778,0.565701299,0.246029268,0.194871103,0.051513417,0.083140047,0.159350998,0.308287432,0.550135576,0.458868316,0.446043998,0.541781034,0.036507237,0.481814368,0.529441966,0,0.759271635,0.567705158,0.151461417,0.684008946,0.16496222,0.679479739,1,1,0.710305361,0,0.107762929,0,0.775788619,0.453012929
OVCAR-4_Ov,0.30477943,0.539024393,0,0.050646209,0.331019215,0.669574501,0,0.319580678,0.206765319,0.17904833,0.140310679,0,0.380675279,0.049213611,0,0.540421127,0.014986379,0.230371115,0.25811417,0.159768641,0.154759085,0.829551823,0.073216024,0.001049231,0.36535637,0.651874265,0,0.511437801,0.279856553,0,0.247026779,0.231387725,0,0,0.32702085,0.862858991,0,0.686121505,0.530447932,0.66290221,0.162628365,0.079268944,0.060852506,0.080464886,0.299177412,0.228375981,0.541234755,0.516702248,0.43433839,0.09327896,0.184072034,0.101676085,0,0.582080791,0.191111447,0.126595076,0.950264845,0.153744083,0.490442498,1,1,0.086742751,0,0.177870039,0.263059119,0.238781246,0.343632765
OVCAR-5_Ov,0.334477692,0.214298826,0.17241881,0.260566727,0.75289552,0.702558296,0.145808503,0.35413469,0.281471087,0.288236019,0.257390524,0.516634122,0.323048368,0.375551051,0,0.830495994,0.20029039,0.358999258,0.276398672,0.177472775,0,0.252994609,0.924615363,0.842130089,0.596077254,0.659880526,0,0.265611448,0.221542786,0.543004373,0.729581447,0.263307484,0.801110004,0.504089397,0.355539368,0.010063937,0.079927086,0.402838971,0.403245163,0.256581473,0.275173502,0.126315958,0.774947626,0,0.74574497,0.213199697,0.673666626,0.489558226,0.381633401,0.131833567,0,0.461351435,0.020845222,0.370781575,0.12888925,0.264250424,0.394625755,0.683967443,0.350657782,0.017692749,0,0.371250637,0.424602802,0.216063792,0.190509679,0.348630315,0.419286118
OVCAR-8_Ov,0.37732092,0.461641883,0.341102663,0.181131956,0.760594413,0.715669203,0.297213582,0.529977043,0.411100335,0.276880404,0.489290666,0.505165525,0.702743402,0.561232048,0.827325485,0.761532827,0.217518124,0.422729201,0.353942298,0.244037342,0,0.283797832,0.865655785,0.789681852,0.385095903,0.721749819,0,0.289795042,0.427169714,0.921556058,0.756422524,0.054104476,0.955187398,0.972348997,0.606681809,0.862858991,0,0.390746896,0.270677153,0.297328725,0.148656087,0.079620874,0.031789781,0.198094139,0.201615802,0,0,0.671588097,0.407333287,0.30417909,0.188225797,0.147605423,0,0.602437721,0.104905768,0,0.522346778,0.046446346,0.562537507,1,0.671958836,0.162298058,0,0.173097095,0,0.211627828,0.694637701
PC-3_xPg,0.266836569,0.410249333,0,0,0.768616397,0.67982671,0.191657088,0.368448514,0.705523648,0,0,0.517335101,0.675179286,0.613686793,0,0.719953266,0.34751623,0.524831786,0,0.433989714,0,0.212596131,0.802357622,0.73548993,0.132562923,1,0.001593814,0.474913682,0.177684894,0.501437327,0.988212269,1,0.607343534,0.027498409,0.251448372,1,0,0.833849456,0.454574712,0.480276878,0.237888198,0.029923432,1,0.335036809,0.950816954,0.986896604,0.640365714,0.81648059,0.57834661,0.262295596,0.711149799,0.669106185,0.564513165,0.95554225,1,0.573306899,0.957521307,0.965093693,1,1,1,0.642385339,0,0.167363779,0.2735384,0.960509248,0.4045181
RXF-631L_Re,0.32738113,0.14729816,0,0.139417009,0.225856588,0,0.408353992,0.448537971,0.305931344,0.25681235,0.379890322,0.322402629,0.555688148,0.46068303,0.002552322,0.860528241,0.165907214,0.280732199,0.356516141,0.105094054,0,0.166156005,0.034909475,0.039435051,0.182889272,0.760764762,0,0.066261048,0.246803865,0,0.555370196,0.579707383,0.451785789,0.417279001,0.393864059,0.862858991,0,0.557412273,0.319108332,0.388863458,0.007594732,0.132088943,0.040881739,0.043917622,0.245149253,0.896997822,0.929389024,0.809203251,0.22636352,0.546768328,0.364680276,0.593771935,0,0.196255129,0.03926086,0.130796904,0.679272813,0.155729702,0.11373515,0.14809122,0.025877401,0.752510997,0,0.219993414,0.125118262,0.645435989,0.530001231
